agency_cd	site_no	datetime	18601_00060_00003	18601_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09066325	2001-06-16	277	A
USGS	09066325	2001-06-17	291	A
USGS	09066325	2001-06-18	316	A
USGS	09066325	2001-06-19	329	A
USGS	09066325	2001-06-20	328	A
USGS	09066325	2001-06-21	310	A
USGS	09066325	2001-06-22	283	A
USGS	09066325	2001-06-23	256	A
USGS	09066325	2001-06-24	266	A
USGS	09066325	2001-06-25	292	A
USGS	09066325	2001-06-26	293	A
USGS	09066325	2001-06-27	293	A
USGS	09066325	2001-06-28	246	A
USGS	09066325	2001-06-29	220	A
USGS	09066325	2001-06-30	207	A
USGS	09066325	2001-07-01	193	A
USGS	09066325	2001-07-02	177	A
USGS	09066325	2001-07-03	162	A
USGS	09066325	2001-07-04	154	A
USGS	09066325	2001-07-05	144	A
USGS	09066325	2001-07-06	141	A
USGS	09066325	2001-07-07	137	A
USGS	09066325	2001-07-08	129	A
USGS	09066325	2001-07-09	120	A
USGS	09066325	2001-07-10	116	A
USGS	09066325	2001-07-11	111	A
USGS	09066325	2001-07-12	109	A
USGS	09066325	2001-07-13	108	A
USGS	09066325	2001-07-14	107	A
USGS	09066325	2001-07-15	117	A
USGS	09066325	2001-07-16	102	A
USGS	09066325	2001-07-17	87.0	A
USGS	09066325	2001-07-18	78.0	A
USGS	09066325	2001-07-19	74.0	A
USGS	09066325	2001-07-20	71.0	A
